DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Spain,,ES,ESP,Spain,Public Sector,2006-2007,Contribution,USD Equivalent,EUR,2007,Dec,105150611
China,,CN,CHN,China,Public Sector,2011-2013,Contribution,Source Currency,USD,2011,Dec,4000000
Germany,,DE,DEU,Germany,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2005,Dec,102954728
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2013,Dec,16700000
Japan,,JP,JPN,Japan,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,100000000
Germany,,DE,DEU,Germany,Public Sector,2001-2005,Pledge,Source Currency,EUR,2002,Dec,12000000
Benin,,BJ,BEN,Benin,Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Sep,2000000
Japan,,JP,JPN,Japan,Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Mar,129328573
Japan,,JP,JPN,Japan,Public Sector,2008-2010,Pledge,Source Currency,USD,2009,Dec,194426073
Ireland,,IE,IRL,Ireland,Public Sector,2014-2016,Pledge,USD Equivalent,EUR,2013,Dec,40771950
Canada,,CA,CAN,Canada,Public Sector,2014-2016,Pledge,Source Currency,CAD,2013,Dec,650000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Contribution,Source Currency,USD,2018,Dec,3740000
Burundi,,BI,BDI,Burundi,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Oct,301730.6
Commitments to be personally secured by Bill Gates and Bono with the active support of France for the period 2020-2022,,,,,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2020,Sep,-3000000
European Commission,,,,,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2010,Dec,134422187.3
Spain,,ES,ESP,Spain,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,138806904
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,Dec,175000
China,,CN,CHN,China,Public Sector,2011-2013,Pledge,Source Currency,USD,2013,Dec,5000000
China,,CN,CHN,China,Public Sector,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,18000000
European Commission,,,,,Public Sector,2001-2005,Contribution,Source Currency,EUR,2002,Dec,120000000
Germany,,DE,DEU,Germany,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2009,Dec,271441775
Denmark,,DK,DNK,Denmark,Public Sector,2001-2005,Pledge,Source Currency,DKK,2005,Dec,140000000
Thailand,,TH,THA,Thailand,Public Sector,2017-2019,Contribution,Source Currency,USD,2018,Dec,1500000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Sep,8000000
United States,"[1,6]",US,USA,United States,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,4680000000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2001-2005,Pledge,Source Currency,EUR,2004,Dec,1800000
