DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Bill & Melinda Gates Foundation,,,,,Foundation,2020-2022,Contribution,Source Currency,USD,2021,Dec,675000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,USD,2014,Apr,42176
Fondation Chanel,,,,,Foundation,2020-2022,Contribution,USD Equivalent,USD,2020,Oct,500000
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Pledge,Source Currency,USD,2019,May,3000000
Standard Bank,,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2019,Apr,101051
Hottokenai Campaign (G-CAP Coalition Japan),,,,,Private Sector & Nongovernment,2006-2007,Contribution,Source Currency,USD,2006,Dec,250000
Vale,,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2015,Sep,1000000
Co-Impact,,,,,Private Sector & Nongovernment,2017-2019,Pledge,Source Currency,USD,2019,Aug,2950000
Ecobank,[1],,,,Corporation,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,3000000
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2014,Jul,303847
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,CHF,2017,Dec,947
United Nations Foundation,,,,,Private Sector & Nongovernment,2006-2007,Pledge,Source Currency,USD,2007,Dec,252173
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2016,Jul,1402
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2016,Sep,-2805
United Methodist Church,,,,,Faith-Based Organization,2014-2016,Contribution,Source Currency,USD,2015,May,9642762
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2016,Feb,2267589
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,USD Equivalent,USD,2017,Sep,102700000
Comic Relief,,,,,Foundation,2020-2022,Contribution,Source Currency,GBP,2021,Oct,629840
Cordaid,,,,,Private Sector & Nongovernment,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,5000000
Bill & Melinda Gates Foundation,,,,,Foundation,2008-2010,Contribution,USD Equivalent,USD,2009,Dec,100000000
Catholic Relief Services,,,,,Foundation,2020-2022,Contribution,Source Currency,USD,2021,Dec,1500000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,CHF,2017,Jan,1180
Product (RED),,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2017,Sep,178523
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,USD Equivalent,USD,2018,Sep,300000
Standard Bank,,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2018,Mar,479729
Comic Relief,,,,,Foundation,2020-2022,Contribution,USD Equivalent,GBP,2022,Jan,675504.07
Gift from Africa,,,,,Corporation,2011-2013,Contribution,USD Equivalent,USD,2012,Dec,452606.48
Chevron Corporation,,,,,Corporation,2017-2019,Pledge,USD Equivalent,USD,2019,Sep,4000
LMI (Lutheran Malaria Initiative),,,,,Faith-Based Organization,2011-2013,Pledge,Source Currency,USD,2011,Dec,13500000
Bill & Melinda Gates Foundation,,,,,Foundation,2008-2010,Pledge,USD Equivalent,USD,2008,Dec,100000000
Bill & Melinda Gates Foundation,,,,,Foundation,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,50000000
YMCA and Y's Men International,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2021,Dec,100000
Bill & Melinda Gates Foundation,,,,,Foundation,2008-2010,Contribution,USD Equivalent,USD,2008,Dec,100000000
Standard Bank,,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2018,Mar,479729
United Methodist Church,,,,,Faith-Based Organization,2017-2019,Pledge,Source Currency,USD,2016,Sep,7914103
United Methodist Church,,,,,Faith-Based Organization,2017-2019,Contribution,Source Currency,USD,2017,Dec,1270000
Takeda Pharmaceutical,[3],,,,Corporation,2017-2019,Pledge,Source Currency,JPY,2016,Sep,277500000
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,Source Currency,USD,2018,Sep,300000
Product (RED),,,,,Corporation,2020-2022,Contribution,USD Equivalent,USD,2020,Apr,766417
Catholic Relief Services,,,,,Foundation,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,3000000
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Pledge,Source Currency,USD,2018,Dec,17226512
Bill & Melinda Gates Foundation,,,,,Foundation,2020-2022,Contribution,Source Currency,USD,2020,Jun,6029135
United Nations Foundation,,,,,Private Sector & Nongovernment,2011-2013,Pledge,USD Equivalent,USD,2012,Dec,588033
Takeda Pharmaceutical,,,,,Corporation,2008-2010,Contribution,Source Currency,JPY,2010,Dec,92500000
Comic Relief,,,,,Foundation,2017-2019,Contribution,USD Equivalent,USD,2018,Dec,2700000
Chevron Corporation,,,,,Corporation,2008-2010,Contribution,USD Equivalent,USD,2008,Dec,10000000
Idol Gives Back,,,,,Private Sector & Nongovernment,2008-2010,Contribution,Source Currency,USD,2009,Dec,10600000
Takeda Pharmaceutical,[3],,,,Corporation,2011-2013,Pledge,USD Equivalent,JPY,2013,Dec,922262.99
United Nations Foundation,,,,,Private Sector & Nongovernment,2017-2019,Pledge,USD Equivalent,USD,2019,Dec,14382
Comic Relief,,,,,Foundation,2017-2019,Contribution,Source Currency,GBP,2017,Dec,1700000
Product (RED),,,,,Corporation,2020-2022,Contribution,USD Equivalent,USD,2021,Jul,373668
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2015,Aug,1240
Product (RED),,,,,Corporation,2020-2022,Contribution,USD Equivalent,USD,2019,Jul,745796
Tahir Foundation,,,,,Individual,2017-2019,Contribution,Source Currency,IDR,2018,Mar,19881100000
United Nations Foundation,,,,,Private Sector & Nongovernment,2011-2013,Contribution,USD Equivalent,USD,2011,Dec,523547
Comic Relief,,,,,Foundation,2017-2019,Contribution,Source Currency,GBP,2016,Oct,1000000
Product (RED),,,,,Corporation,2008-2010,Contribution,Source Currency,USD,2009,Dec,18867601
Product (RED),,,,,Corporation,2014-2016,Pledge,USD Equivalent,USD,2014,Dec,30000000
Communitas Foundation,,,,,Foundation,2006-2007,Contribution,USD Equivalent,USD,2007,Dec,1000000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,USD,2018,Dec,2000000
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2021,Jul,373668
Ecobank,,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2019,Oct,250000
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,600000000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,USD,2018,Jul,1000000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2016,Jan,1457
Takeda Pharmaceutical,[3],,,,Corporation,2011-2013,Pledge,Source Currency,JPY,2011,Dec,92500000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2014,May,1050
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2022,Jan,3175339
Bill & Melinda Gates Foundation,,,,,Foundation,2014-2016,Contribution,Source Currency,USD,2016,Dec,14700000
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2021,May,350000
Bill & Melinda Gates Foundation,,,,,Foundation,2020-2022,Contribution,USD Equivalent,USD,2022,Jan,700000
Chevron Corporation,,,,,Corporation,2011-2013,Contribution,Source Currency,USD,2011,Dec,8000000
United Nations Foundation,,,,,Private Sector & Nongovernment,2014-2016,Pledge,Source Currency,USD,2015,Mar,200995
Takeda Pharmaceutical,[3],,,,Corporation,2011-2013,Pledge,Source Currency,JPY,2013,Dec,86500000
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2021,Oct,61412
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2019,Jul,745796
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2016,Mar,2293178
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2014,Nov,1269
Takeda Pharmaceutical,,,,,Corporation,2014-2016,Contribution,Source Currency,JPY,2015,Mar,92500000
LMI (Lutheran Malaria Initiative),,,,,Faith-Based Organization,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,11989167.05
Product (RED),,,,,Corporation,2020-2022,Contribution,USD Equivalent,USD,2019,Nov,106206
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2014,Dec,1190
Comic Relief,,,,,Foundation,2020-2022,Contribution,USD Equivalent,GBP,2021,Aug,193001.16
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,DKK,2016,Oct,36438
Comic Relief,,,,,Foundation,2014-2016,Pledge,Source Currency,USD,2015,Jun,1150000
Chevron Corporation,,,,,Corporation,2008-2010,Contribution,Source Currency,USD,2008,Dec,10000000
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2016,May,1299749
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2018,Mar,237148.64
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,CHF,2017,Jan,1215
United Nations Foundation,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,USD,2017,Nov,17975
Communitas Foundation,,,,,Foundation,2006-2007,Contribution,Source Currency,USD,2007,Dec,1000000
Chevron Corporation,,,,,Corporation,2008-2010,Contribution,Source Currency,USD,2010,Dec,10000000
Nationale Postcode Loterij N.V.,,,,,Corporation,2014-2016,Pledge,USD Equivalent,EUR,2016,Apr,3397662.5
United Nations Foundation,,,,,Private Sector & Nongovernment,2017-2019,Pledge,USD Equivalent,USD,2017,Nov,17975
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2014,Oct,886116
United Nations Foundation,,,,,Private Sector & Nongovernment,2006-2007,Contribution,USD Equivalent,USD,2006,Dec,415384
United Nations Foundation,,,,,Private Sector & Nongovernment,2001-2005,Contribution,USD Equivalent,USD,2002,Dec,3236804
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,USD Equivalent,USD,2016,Nov,100000000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,USD,2020,Mar,1000000
Takeda Pharmaceutical,[3],,,,Corporation,2017-2019,Pledge,USD Equivalent,JPY,2016,Sep,2764493.85
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2014,Aug,1126
United Methodist Church,,,,,Faith-Based Organization,2011-2013,Pledge,Source Currency,USD,2013,Dec,2629044
Product (RED),,,,,Corporation,2011-2013,Contribution,Source Currency,USD,2011,Dec,21462250
Chevron Corporation,,,,,Corporation,2011-2013,Contribution,Source Currency,USD,2012,Dec,8000000
Bill & Melinda Gates Foundation,,,,,Foundation,2011-2013,Pledge,Source Currency,USD,2013,Dec,150000000
Rockefeller Foundation,,,,,Foundation,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,15000000
Bill & Melinda Gates Foundation,,,,,Foundation,2001-2005,Contribution,Source Currency,USD,2004,Dec,50000000
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2019,Dec,2400000
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2022,May,300000
United Nations Foundation,,,,,Private Sector & Nongovernment,2011-2013,Pledge,Source Currency,USD,2013,Dec,325226
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,GBP,2021,Feb,-407906
Product (RED),,,,,Corporation,2020-2022,Contribution,USD Equivalent,USD,2020,Jul,940195
United Nations Foundation,,,,,Private Sector & Nongovernment,2001-2005,Pledge,USD Equivalent,USD,2005,Dec,756831
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,USD,2016,Jul,2000000
Idol Gives Back,,,,,Private Sector & Nongovernment,2006-2007,Contribution,USD Equivalent,USD,2007,Dec,3000000
Bill & Melinda Gates Foundation,,,,,Foundation,2011-2013,Pledge,USD Equivalent,USD,2013,Dec,150000000
Other Private Sector,,,,,Private Sector & Nongovernment,2008-2010,Contribution,Source Currency,USD,2010,Dec,21187
Anglo American plc,,,,,Corporation,2011-2013,Pledge,USD Equivalent,USD,2011,Dec,1000000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,USD,2014,Apr,42176
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Pledge,USD Equivalent,USD,2014,Mar,20000
United Methodist Church,,,,,Faith-Based Organization,2011-2013,Contribution,Source Currency,USD,2011,Dec,1590000
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2015,May,2460441
Other Private Sector,,,,,Private Sector & Nongovernment,2011-2013,Pledge,Source Currency,USD,2011,Dec,56908
United Methodist Church,,,,,Faith-Based Organization,2014-2016,Contribution,Source Currency,USD,2014,Feb,2100000
Tahir Foundation,,,,,Individual,2014-2016,Contribution,Source Currency,IDR,2015,Dec,21956534572
Anglo American plc,,,,,Corporation,2011-2013,Contribution,Source Currency,USD,2014,Jan,1000000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,CHF,2017,Feb,1150
Product (RED),,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2016,Oct,353678
Vale,,,,,Corporation,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,3000000
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2019,Mar,877391.2
Bill & Melinda Gates Foundation,,,,,Foundation,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,500000000
Comic Relief,,,,,Foundation,2017-2019,Pledge,USD Equivalent,GBP,2016,Sep,15692428.44
YMCA and Y's Men International,,,,,Private Sector & Nongovernment,2020-2022,Contribution,Source Currency,USD,2020,Dec,100000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Pledge,Source Currency,USD,2018,Aug,5000000
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2015,Jun,217470
Product (RED),,,,,Corporation,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,21096496
Bill & Melinda Gates Foundation,,,,,Foundation,2011-2013,Pledge,Source Currency,USD,2011,Dec,150000000
Tahir Foundation,,,,,Individual,2017-2019,Contribution,Source Currency,IDR,2018,Aug,20000000000
Comic Relief,,,,,Foundation,2020-2022,Contribution,USD Equivalent,USD,2021,Dec,1240150
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2015,Feb,1150
United Nations Foundation,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2021,Dec,58956
Other Private Sector,,,,,Private Sector & Nongovernment,2011-2013,Contribution,USD Equivalent,USD,2013,Dec,17098
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2021,Nov,19597
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,Source Currency,USD,2019,Dec,8000000
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,Source Currency,USD,2018,Nov,17500000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2016,Jun,1380
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2014,Jun,1050
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2019,Aug,3000000
Comic Relief,,,,,Foundation,2014-2016,Contribution,Source Currency,USD,2015,Aug,1050000
Plan International and Plan Canada,,,,,Private Sector & Nongovernment,2020-2022,Contribution,Source Currency,CAD,2021,Dec,1000000
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2014,Sep,320290
Takeda Pharmaceutical,,,,,Corporation,2014-2016,Contribution,Source Currency,JPY,2016,Mar,92500000
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2022,Jun,486683
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,USD,2016,Jul,2000000
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2020,Nov,2844568
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2018,Jun,700000
Comic Relief,,,,,Foundation,2014-2016,Pledge,USD Equivalent,USD,2015,Dec,1750000
Product (RED),,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2018,Mar,5401335
Bill & Melinda Gates Foundation,,,,,Foundation,2006-2007,Contribution,USD Equivalent,USD,2007,Dec,100000000
Duet Group,,,,,Corporation,2017-2019,Pledge,Source Currency,USD,2016,Sep,2600000
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2015,Nov,3859679
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2020,Feb,8935806
Other Private Sector,,,,,Private Sector & Nongovernment,2011-2013,Contribution,Source Currency,USD,2011,Dec,56908
United Nations Foundation,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,USD,2019,Dec,14382
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2014,Mar,2409403
Human Crescent,,,,,Private Sector & Nongovernment,2017-2019,Pledge,Source Currency,USD,2018,Sep,-2000000
United Nations Foundation,,,,,Private Sector & Nongovernment,2001-2005,Contribution,USD Equivalent,USD,2005,Dec,756831
Chevron Corporation,,,,,Corporation,2017-2019,Pledge,Source Currency,USD,2019,Sep,4000
Comic Relief,,,,,Foundation,2017-2019,Pledge,Source Currency,USD,2016,Sep,6000000
United Nations Foundation,,,,,Private Sector & Nongovernment,2011-2013,Pledge,Source Currency,USD,2011,Dec,523547
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,[5],,,,Corporation,2017-2019,Pledge,Source Currency,USD,2016,Sep,4000000
M∙A∙C AIDS Fund,,,,,Foundation,2008-2010,Pledge,USD Equivalent,USD,2009,Dec,1250000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2016,Jul,1270
Ecobank,,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2015,Oct,250000
United Methodist Church,,,,,Faith-Based Organization,2011-2013,Pledge,USD Equivalent,USD,2011,Dec,1590000
United Methodist Church,,,,,Faith-Based Organization,2011-2013,Pledge,USD Equivalent,USD,2013,Dec,2629044
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,CHF,2017,Nov,940
Gift from Africa,,,,,Corporation,2011-2013,Pledge,Source Currency,USD,2013,Dec,1000000
United Methodist Church,,,,,Faith-Based Organization,2014-2016,Pledge,Source Currency,USD,2016,Sep,-6233147
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2014,Jun,3880698
Product (RED),,,,,Corporation,2020-2022,Contribution,USD Equivalent,USD,2022,Feb,9048310
Children's Investment Fund Foundation,,,,,Foundation,2020-2022,Contribution,Source Currency,USD,2020,Apr,3000000
Munich Re,,,,,Corporation,2017-2019,Pledge,USD Equivalent,USD,2016,Aug,751500
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2018,Dec,271129
Bill & Melinda Gates Foundation,,,,,Foundation,2014-2016,Contribution,USD Equivalent,USD,2016,Dec,14700000
Takeda Pharmaceutical,,,,,Corporation,2011-2013,Contribution,Source Currency,JPY,2011,Dec,92500000
Bill & Melinda Gates Foundation,,,,,Foundation,2011-2013,Pledge,USD Equivalent,USD,2011,Dec,150000000
Children's Investment Fund Foundation,,,,,Foundation,2020-2022,Contribution,USD Equivalent,USD,2021,Jan,6000000
Tahir Foundation,,,,,Individual,2014-2016,Pledge,USD Equivalent,IDR,2016,Sep,-21492764.79
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,CHF,2017,Sep,940
Takeda Pharmaceutical,[4],,,,Corporation,2020-2022,Pledge,USD Equivalent,JPY,2019,Oct,5252130.18
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Contribution,Source Currency,USD,2021,Apr,220000
United Nations Foundation,,,,,Private Sector & Nongovernment,2014-2016,Pledge,Source Currency,USD,2016,Aug,100631
Comic Relief,,,,,Foundation,2017-2019,Contribution,USD Equivalent,GBP,2019,Nov,3269255.92
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2014,May,1159
Bill & Melinda Gates Foundation,,,,,Foundation,2001-2005,Contribution,USD Equivalent,USD,2003,Dec,50000000
FIFA Foundation,,,,,Foundation,2020-2022,Pledge,USD Equivalent,USD,2020,Jun,1500000
Comic Relief,,,,,Foundation,2014-2016,Pledge,Source Currency,GBP,2015,Sep,2000000
Bill & Melinda Gates Foundation,,,,,Foundation,2017-2019,Contribution,USD Equivalent,USD,2020,Mar,1516658
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,USD,2018,Jul,1000000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Pledge,Source Currency,USD,2013,Dec,5000000
LMI (Lutheran Malaria Initiative),,,,,Faith-Based Organization,2014-2016,Contribution,Source Currency,USD,2014,Feb,144124.44
United Nations Foundation,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,USD,2016,Sep,100631
Co-Impact,,,,,Private Sector & Nongovernment,2020-2022,Contribution,Source Currency,USD,2021,Jul,2250000
Other Private Sector,,,,,Private Sector & Nongovernment,2008-2010,Pledge,Source Currency,USD,2009,Dec,14157
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2015,Aug,2226258
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Pledge,Source Currency,GBP,2019,Oct,4074186
United Nations Foundation,,,,,Private Sector & Nongovernment,2011-2013,Contribution,Source Currency,USD,2012,Dec,588033
Munich Re,,,,,Corporation,2014-2016,Pledge,Source Currency,USD,2016,Aug,250500
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2015,Jan,1170
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,USD,2019,Jan,1000000
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2014,Apr,14915373
Comic Relief,,,,,Foundation,2017-2019,Contribution,USD Equivalent,USD,2016,Sep,2600000
Ecobank,,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2019,Apr,250000
Catholic Relief Services,,,,,Foundation,2020-2022,Contribution,USD Equivalent,USD,2021,Dec,1500000
United Nations Foundation,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2020,Dec,11250
Comic Relief,,,,,Foundation,2020-2022,Contribution,Source Currency,GBP,2021,Sep,629840
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Contribution,USD Equivalent,USD,2021,Apr,220000
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2016,Aug,1199001
United Methodist Church,,,,,Faith-Based Organization,2017-2019,Contribution,USD Equivalent,USD,2017,Dec,1270000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Pledge,Source Currency,USD,2017,Oct,7000000
United Methodist Church,,,,,Faith-Based Organization,2011-2013,Contribution,Source Currency,USD,2013,Dec,2629044
United Methodist Church,,,,,Faith-Based Organization,2011-2013,Contribution,USD Equivalent,USD,2012,Dec,2200000
Comic Relief,,,,,Foundation,2017-2019,Pledge,Source Currency,GBP,2016,Sep,12000000
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2014,May,4215694
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,USD Equivalent,USD,2018,Mar,102
Takeda Pharmaceutical,[3],,,,Corporation,2011-2013,Pledge,USD Equivalent,JPY,2011,Dec,1152360.78
Rockefeller Foundation,,,,,Foundation,2020-2022,Contribution,Source Currency,USD,2021,Dec,5000000
Ecobank,,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2015,Oct,250000
Takeda Pharmaceutical,,,,,Corporation,2017-2019,Contribution,Source Currency,JPY,2018,Mar,92500000
Children's Investment Fund Foundation,,,,,Foundation,2017-2019,Contribution,Source Currency,USD,2019,Oct,228380
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2016,Sep,1369
Other Private Sector,,,,,Private Sector & Nongovernment,2020-2022,Pledge,Source Currency,SGD,2019,Oct,7000000
Takeda Pharmaceutical,,,,,Corporation,2011-2013,Contribution,Source Currency,JPY,2012,Dec,92500000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2014,Jul,1115
Munich Re,,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2017,Feb,250250
LMI (Lutheran Malaria Initiative),,,,,Faith-Based Organization,2011-2013,Contribution,USD Equivalent,USD,2012,Dec,423526
YMCA and Y's Men International,,,,,Private Sector & Nongovernment,2020-2022,Pledge,Source Currency,USD,2019,Sep,500000
Comic Relief,,,,,Foundation,2014-2016,Pledge,USD Equivalent,GBP,2014,Mar,3273858.2
Standard Bank,,,,,Corporation,2017-2019,Contribution,Source Currency,USD,2019,May,415191
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,Source Currency,CHF,2016,Feb,1270
Comic Relief,,,,,Foundation,2014-2016,Pledge,USD Equivalent,GBP,2016,Sep,-1964314.92
Anglo American plc,,,,,Corporation,2011-2013,Pledge,USD Equivalent,USD,2012,Dec,1000000
Chevron Corporation,,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2015,Apr,2500000
Product (RED),,,,,Corporation,2020-2022,Pledge,Source Currency,USD,2019,Oct,150000000
United Nations Foundation,,,,,Private Sector & Nongovernment,2001-2005,Pledge,USD Equivalent,USD,2003,Dec,165113
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,CHF,2016,Dec,1313
Other Private Sector,,,,,Private Sector & Nongovernment,2008-2010,Contribution,USD Equivalent,USD,2009,Dec,14157
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,,,,,Corporation,2017-2019,Contribution,USD Equivalent,USD,2017,Nov,293098.96
Product (RED),,,,,Corporation,2014-2016,Contribution,Source Currency,USD,2017,Oct,-25000
Takeda Pharmaceutical,,,,,Corporation,2017-2019,Contribution,Source Currency,JPY,2019,Mar,92500000
YMCA and Y's Men International,,,,,Private Sector & Nongovernment,2020-2022,Pledge,USD Equivalent,USD,2019,Sep,500000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Pledge,Source Currency,USD,2015,Sep,10000000
Other Private Sector,,,,,Private Sector & Nongovernment,2014-2016,Contribution,USD Equivalent,USD,2016,Sep,2166
Gift from Africa,,,,,Corporation,2011-2013,Pledge,USD Equivalent,USD,2012,Dec,1000000
Other Private Sector,,,,,Private Sector & Nongovernment,2017-2019,Contribution,Source Currency,CHF,2017,Jul,1050
Product (RED),,,,,Corporation,2020-2022,Contribution,Source Currency,USD,2020,Oct,162171
Product (RED),,,,,Corporation,2014-2016,Contribution,USD Equivalent,USD,2015,Mar,1615469
Bill & Melinda Gates Foundation,,,,,Foundation,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,100000000
